title,openDate,finalDate,info,image,categoryName,category
호두까기인형 [서울 노원],2023.12.09,2023.12.09,노원구민의전당(구. 노원구민회관),http://www.kopis.or.kr/upload/pfmPoster/PF_PF227783_231016_105047.gif,뮤지컬,공연 전시
TREASURE CONCERT: REBOOT [서울],2023.12.15,2023.12.17,올림픽공원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF227782_231016_104957.gif,콘서트,공연 전시
루드윅: 베토벤 더 피아노 [하남],2023.12.09,2023.12.10,하남문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF227780_231016_103958.gif,뮤지컬,공연 전시
미스터트롯2 TOP7 콘서트 [서울],2023.11.25,2023.11.26,올림픽공원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF227779_231016_103312.gif,콘서트,공연 전시
라푼젤 [양천],2023.11.26,2023.11.26,갈산문화예술센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF227778_231016_103311.jpg,뮤지컬,공연 전시
"M 인디열전, EXTENSION",2023.12.08,2023.12.09,마포아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF227774_231013_155757.gif,콘서트,공연 전시
"연극 on stage, 띨뿌리 [화성]",2023.12.16,2023.12.16,모두누림센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF227769_231013_143619.gif,연극,공연 전시
튜링머신,2023.11.03,2023.11.25,LG아트센터 서울,http://www.kopis.or.kr/upload/pfmPoster/PF_PF227763_231013_140624.gif,연극,공연 전시
리진: 빛의 여인,2023.11.14,2024.02.04,충무아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF227761_231013_135649.gif,뮤지컬,공연 전시
"한화클래식 Unity, 일 자르디노 아르모니코 & 아비 아비탈 (12.13)",2023.12.13,2023.12.13,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF227760_231013_135242.gif,서양음악(클래식),공연 전시
루돌프의 크리스마스 선물 [수원],2023.12.30,2023.12.31,경기아트센터(구. 경기도문화의전당),http://www.kopis.or.kr/upload/pfmPoster/PF_PF227759_231013_135240.gif,뮤지컬,공연 전시
"한화클래식 Unity, 일 자르디노 아르모니코 & 아비 아비탈 (12.12)",2023.12.12,2023.12.12,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF227757_231013_134722.gif,서양음악(클래식),공연 전시
루돌프의 크리스마스선물 [목동],2023.12.02,2023.12.31,한국방송회관 코바코홀 (구. 브로드홀),http://www.kopis.or.kr/upload/pfmPoster/PF_PF227755_231013_134440.gif,뮤지컬,공연 전시
"피아니스트 임동혁초청, 라흐마니노프3 VS 브람스4",2023.12.21,2023.12.21,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF227752_231013_133615.gif,서양음악(클래식),공연 전시
