category,title,info,roadAddress,lotNumberAddress,categoryName,homepage,image
맛집,옹달샘 본점,곤드레 나물밥,서울 마포구 양화로6길 99,서교동 402-3복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191023_247%2F1571813823387Ezcf8_JPEG%2Fi4Wtx8hbtmHApeDCgF8zMNDp.jpg
맛집,당인식당,오늘의밥과국,"서울 마포구 와우산로3길 50 1,2층",당인동 25-22복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220609_230%2F1654748666176UU1Iq_JPEG%2F20201117_175350.jpg
맛집,달콤한거짓말,치즈파레트,"서울 마포구 독막로 61-4 1, 2층",상수동 317-11복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220224_274%2F164568577480643XaX_JPEG%2F11.jpg
맛집,맛이차이나,짜장면,서울 마포구 독막로 68,상수동 321-1복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181123_116%2F15429514419292lWNo_JPEG%2FDO5STGJmbioawVctZ3TU8HAJ.jpg
맛집,쿄 베이커리 X 카페더인피닛,명란바게트,서울 서초구 사평대로58길 6,서초동 1303-6복,서울,['https://www.instagram.com/kyobakery_official'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190605_209%2F1559706208756qajhw_JPEG%2F65CKiEOyYr9O7E8zCL4JjZy0.jpg
맛집,정인면옥 본점,평양냉면,서울 영등포구 국회대로76길 10 기독교침례회총회빌딩 1층,여의도동 13-1복,서울,['https://junginmyunok.modoo.at'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150817_194%2F1439805575421MQFMH_JPEG%2F166767588953726_0.jpg
맛집,펠앤콜,깻잎 아이스크림,서울 마포구 와우산로 39-21,상수동 310-11복,서울,['https://blog.naver.com/fellncole'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220528_282%2F1653694211390UxtBQ_JPEG%2F409AD2CC-E2E1-475B-A743-1EA6DE2EC2B0.jpeg
맛집,사모님 돈가스,사모님돈가스,서울 서대문구 연희로11가길 39 2층,연희동 190-14복,서울,['https://www.instagram.com/girusang'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210818_217%2F1629294782128qyent_JPEG%2F9-rSVe78rtBrqfujcpmmL8uE.jpeg.jpg
맛집,툭툭누들타이,팟 팍봉 무끄럽,서울 마포구 성미산로 161-8 2층,연남동 223-15복,서울,['https://www.instagram.com/tuktuknoodle/'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160509_92%2F14627521392703fLL6_JPEG%2F176459493236444_0.jpeg
맛집,탬파 압구정점,탐파 쿠반 샌드위치,서울 강남구 언주로168길 5 1층 탬파,신사동 635-4복,서울,['http://instagram.com/tampa_sandwichbar'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220408_94%2F1649399834451jXELS_JPEG%2F16E0AE52-C1C6-48DD-82AA-5750A4708A2B.jpeg
맛집,랑빠스81,메르게즈(양고기 소시지),서울 마포구 동교로30길 17-1 101호,동교동 149-11복,서울,['https://limpasse81.modoo.at/'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201030_131%2F1604042057893wwRlL_JPEG%2FgkVj4Kgnzz7AW42PbHDWzkvf.jpg
맛집,히메지 2호점,카레라이스,서울 서대문구 연희로11길 41,연희동 129-2복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170726_187%2F1501029035474rJmIy_JPEG%2Fimage.JPEG
맛집,커피리브레 연남점,아메리카노,서울 마포구 성미산로32길 20-5,연남동 239-34복,서울,['https://www.instagram.com/coffeelibre_yeonnam'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230905_285%2F1693882947449oJAuu_JPEG%2FIMG_0770.jpeg
맛집,편의방,생선만두,서울 서대문구 연희로 36,연희동 353-94복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190706_285%2F1562386310478O9rk7_JPEG%2FdzH6S09i2jHYFWTq5BSLgusf.jpg
맛집,나노하나,모츠나베,서울 서초구 서초대로73길 42 강남역리가스퀘어 1층 107호 나노하나,서초동 1308-26복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230511_81%2F1683803823107kCYE3_JPEG%2F1683803560529.jpg
맛집,신복촌,우럭 맑은탕,서울 영등포구 국제금융로8길 19 중앙빌딩 215호,여의도동 44-21복,서울,['https://blog.naver.com/ksbeom'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160131_218%2F1454191858110p8RRl_JPEG%2F176081474077052_0.jpeg
맛집,희정식당,부대찌개,서울 영등포구 여의나루로 117,여의도동 21-3복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_258%2F14409957946411Y4yr_JPEG%2F156155408462754_0.jpg
맛집,피터팬1978,무화과랑 고구마,서울 서대문구 증가로 10,연희동 90-5복,서울,['http://peterpanbakery.com/'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_21%2F1616669642984Yjdcn_JPEG%2FmxaAGzvuMGChVLIHz6Wq2sqa.jpg
맛집,떡의미학,두텁떡,서울 서대문구 연희로25길 72,연희동 85-17복,서울,['https://blog.naver.com/mihak1989'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200522_293%2F1590136768508eOV9a_JPEG%2FoU-6hh3RWF98gBE_kOqndCqd.jpg
맛집,야바이,오코노미야키,서울 서대문구 연세로7안길 37,창천동 53-20복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150918_87%2F14425440470111EMXy_JPEG%2FSUBMIT_1442544030595_13564299.jpg
맛집,죽해수산,죽해정식,서울 서대문구 연세로5길 30,창천동 62-3복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220927_114%2F1664268973883KL5ag_JPEG%2FC8833519-F2C5-4334-AD07-60B07B392150.jpeg
맛집,구월산,구월산모둠,서울 영등포구 국회대로36길 5-1,당산동3가 102복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_123%2F1440996429303UIw4q_JPEG%2FSUBMIT_1388669074961_11562179.jpg
맛집,고등어김치찜전문점군자네,고등어김치찜,서울 마포구 대흥로 53,대흥동 337-62복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA5MjhfODUg%2FMDAxNjk1ODk2MzgzMjAx.mAEUP_CVaL_lmcM09DBPSX2TbWXbq-ORKoU0t6mcKdwg.Jvl95ZWPBQuUuq1U6D2R71lWLDLr1qGKXEY-595esXIg.JPEG%2F1695896073794.jpg
맛집,사이공리,쌀국수,서울 동작구 장승배기로 151-1,노량진동 240-46복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221229_165%2F1672302984216pageg_JPEG%2F20221229_172635.jpg
맛집,원조 조박집 본관,돼지갈비,서울 마포구 토정로37길 3,용강동 40-1복,서울,['https://linktr.ee/jobakzib_official'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170424_95%2F1492998254745mzShp_JPEG%2FKakaoTalk_20170421_161807923.jpg
맛집,논밭골 봉천점,왕갈비탕,서울 관악구 청룡길 30,봉천동 915-26복,서울,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190728_253%2F1564299563038LWuRj_JPEG%2FSMqVgxRUc4ENQE7I-j7rGqnW.jpg
